Wavelength (nm),Absorbance
1549,0.043191
1548,0.043073
1547,0.043238
1546,0.043099
1545,0.042929
1544,0.043009
1543,0.042623
1542,0.042539
1541,0.042461
1540,0.042332
1539,0.042331
1538,0.042471
1537,0.042447
1536,0.0422
1535,0.042052
1534,0.041946
1533,0.041745
1532,0.041633
1531,0.041528
1530,0.041597
1529,0.041863
1528,0.041691
1527,0.041641
1526,0.041402
1525,0.041211
1524,0.041033
1523,0.040918
1522,0.04073
1521,0.041054
1520,0.040672
1519,0.040842
1518,0.040808
1517,0.040683
1516,0.040466
1515,0.040755
1514,0.040182
1513,0.040094
1512,0.03985
1511,0.039801
1510,0.039674
1509,0.039862
1508,0.039239
1507,0.039423
1506,0.039405
1505,0.039319
1504,0.039419
1503,0.039282
1502,0.039161
1501,0.039103
1500,0.039098
1499,0.038652
1498,0.03872
1497,0.038464
1496,0.038282
1495,0.038181
1494,0.038308
1493,0.038077
1492,0.037926
1491,0.037734
1490,0.037809
1489,0.037702
1488,0.037641
1487,0.037779
1486,0.037479
1485,0.037482
1484,0.037257
1483,0.037163
1482,0.036993
1481,0.036856
1480,0.036744
1479,0.036639
1478,0.03641
1477,0.036187
1476,0.03623
1475,0.036051
1474,0.035803
1473,0.035635
1472,0.035587
1471,0.035426
1470,0.035215
1469,0.035017
1468,0.035061
1467,0.035244
1466,0.035265
1465,0.034978
1464,0.034921
1463,0.034812
1462,0.034889
1461,0.034453
1460,0.03418
1459,0.033939
1458,0.034194
1457,0.034139
1456,0.033852
1455,0.033713
1454,0.033683
1453,0.033658
1452,0.033543
1451,0.033207
1450,0.033155
1449,0.03305
1448,0.032916
1447,0.032614
1446,0.03238
1445,0.032125
1444,0.032158
1443,0.032219
1442,0.032218
1441,0.032117
1440,0.031822
1439,0.031681
1438,0.031501
1437,0.031454
1436,0.031435
1435,0.031506
1434,0.031266
1433,0.031212
1432,0.030955
1431,0.03084
1430,0.030772
1429,0.030435
1428,0.030184
1427,0.030237
1426,0.03021
1425,0.030051
1424,0.029826
1423,0.029624
1422,0.029615
1421,0.029529
1420,0.029262
1419,0.029138
1418,0.029125
1417,0.029014
1416,0.028927
1415,0.028904
1414,0.028723
1413,0.028488
1412,0.028624
1411,0.02846
1410,0.028299
1409,0.028107
1408,0.027998
1407,0.028044
1406,0.027773
1405,0.027655
1404,0.027639
1403,0.02773
1402,0.027728
1401,0.027382
1400,0.026903
1399,0.026532
1398,0.026861
1397,0.027042
1396,0.026497
1395,0.026052
1394,0.025718
1393,0.025688
1392,0.025725
1391,0.02575
1390,0.026036
1389,0.026012
1388,0.025611
1387,0.025397
1386,0.025516
1385,0.025184
1384,0.024926
1383,0.025096
1382,0.024666
1381,0.024782
1380,0.025156
1379,0.025048
1378,0.024964
1377,0.024616
1376,0.024333
1375,0.024301
1374,0.024109
1373,0.024051
1372,0.023618
1371,0.023865
1370,0.024273
1369,0.024152
1368,0.023481
1367,0.022911
1366,0.023283
1365,0.023595
1364,0.023825
1363,0.023845
1362,0.022544
1361,0.022005
1360,0.022368
1359,0.023006
1358,0.023505
1357,0.023369
1356,0.022838
1355,0.02238
1354,0.021856
1353,0.021833
1352,0.021885
1351,0.022323
1350,0.022124
1349,0.021889
1348,0.021807
1347,0.021826
1346,0.021899
1345,0.021964
1344,0.021941
1343,0.021774
1342,0.021549
1341,0.021389
1340,0.021507
1339,0.02152
1338,0.021388
1337,0.021274
1336,0.02124
1335,0.021362
1334,0.021008
1333,0.020908
1332,0.020956
1331,0.020895
1330,0.020938
1329,0.020741
1328,0.020689
1327,0.020666
1326,0.020629
1325,0.020605
1324,0.020527
1323,0.02052
1322,0.020546
1321,0.020356
1320,0.020286
1319,0.020246
1318,0.020147
1317,0.020068
1316,0.019988
1315,0.020086
1314,0.019945
1313,0.019982
1312,0.019942
1311,0.019931
1310,0.019964
1309,0.019823
1308,0.019861
1307,0.019916
1306,0.019731
1305,0.019863
1304,0.019773
1303,0.019815
1302,0.019759
1301,0.019877
1300,0.019565
1299,0.019655
1298,0.019591
1297,0.019615
1296,0.019855
1295,0.019514
1294,0.019532
1293,0.019757
1292,0.019614
1291,0.019652
1290,0.019574
1289,0.019708
1288,0.01961
1287,0.019405
1286,0.019611
1285,0.019673
1284,0.019574
1283,0.019718
1282,0.019655
1281,0.0197
1280,0.019652
1279,0.019668
1278,0.019702
1277,0.019721
1276,0.019939
1275,0.019784
1274,0.019875
1273,0.019887
1272,0.019897
1271,0.019954
1270,0.020099
1269,0.019894
1268,0.020049
1267,0.020128
1266,0.020116
1265,0.020155
1264,0.020296
1263,0.020464
1262,0.020542
1261,0.020446
1260,0.020513
1259,0.020675
1258,0.020601
1257,0.020977
1256,0.020774
1255,0.020777
1254,0.020683
1253,0.020762
1252,0.020913
1251,0.021147
1250,0.021034
1249,0.021044
1248,0.021167
1247,0.02116
1246,0.021106
1245,0.021238
1244,0.021367
1243,0.021379
1242,0.021449
1241,0.021431
1240,0.021569
1239,0.02163
1238,0.021648
1237,0.02168
1236,0.02164
1235,0.021719
1234,0.0218
1233,0.021777
1232,0.021679
1231,0.021979
1230,0.021995
1229,0.022038
1228,0.022011
1227,0.022025
1226,0.022044
1225,0.022174
1224,0.022231
1223,0.022307
1222,0.022311
1221,0.022196
1220,0.022298
1219,0.022374
1218,0.022323
1217,0.022521
1216,0.022453
1215,0.02245
1214,0.022462
1213,0.022476
1212,0.022619
1211,0.022562
1210,0.022348
1209,0.022232
1208,0.022617
1207,0.022509
1206,0.022562
1205,0.022577
1204,0.022471
1203,0.022479
1202,0.022492
1201,0.022387
1200,0.022468
1199,0.022506
1198,0.022544
1197,0.022531
1196,0.022539
1195,0.022539
1194,0.022493
1193,0.022455
1192,0.022451
1191,0.022579
1190,0.022486
1189,0.022329
1188,0.022259
1187,0.022402
1186,0.02237
1185,0.022358
1184,0.022484
1183,0.022499
1182,0.022402
1181,0.02232
1180,0.022388
1179,0.022468
1178,0.022425
1177,0.022402
1176,0.022393
1175,0.022388
1174,0.022485
1173,0.02256
1172,0.022592
1171,0.022629
1170,0.022559
1169,0.022463
1168,0.022457
1167,0.022478
1166,0.022433
1165,0.022484
1164,0.02259
1163,0.02256
1162,0.022483
1161,0.022539
1160,0.022557
1159,0.022484
1158,0.022494
1157,0.022608
1156,0.022669
1155,0.022632
1154,0.022682
1153,0.022687
1152,0.02271
1151,0.022749
1150,0.022653
1149,0.022704
1148,0.022846
1147,0.022813
1146,0.022746
1145,0.022705
1144,0.022727
1143,0.02289
1142,0.022957
1141,0.023001
1140,0.023029
1139,0.023007
1138,0.022999
1137,0.023039
1136,0.023125
1135,0.023175
1134,0.02321
1133,0.02309
1132,0.023117
1131,0.0231
1130,0.023126
1129,0.023221
1128,0.02317
1127,0.023123
1126,0.023274
1125,0.023469
1124,0.023532
1123,0.023409
1122,0.023451
1121,0.023505
1120,0.023594
1119,0.023639
1118,0.023685
1117,0.023683
1116,0.023721
1115,0.023659
1114,0.023655
1113,0.023681
1112,0.023858
1111,0.023958
1110,0.023929
1109,0.024003
1108,0.024132
1107,0.024194
1106,0.024133
1105,0.02414
1104,0.024232
1103,0.024319
1102,0.024285
1101,0.024253
1100,0.024361
1099,0.024413
1098,0.024578
1097,0.02446
1096,0.024511
1095,0.024621
1094,0.024607
1093,0.024668
1092,0.02473
1091,0.024771
1090,0.024709
1089,0.024829
1088,0.024943
1087,0.024906
1086,0.024929
1085,0.025203
1084,0.025065
1083,0.025161
1082,0.025109
1081,0.025156
1080,0.025286
1079,0.025222
1078,0.025391
1077,0.025507
1076,0.025473
1075,0.025533
1074,0.025524
1073,0.025495
1072,0.025636
1071,0.025764
1070,0.025739
1069,0.025934
1068,0.025801
1067,0.025713
1066,0.02584
1065,0.025967
1064,0.025963
1063,0.026074
1062,0.026072
1061,0.026135
1060,0.026273
1059,0.026158
1058,0.026241
1057,0.026386
1056,0.026407
1055,0.026451
1054,0.026489
1053,0.026586
1052,0.026532
1051,0.026707
1050,0.026596
1049,0.026921
1048,0.026842
1047,0.026842
1046,0.026818
1045,0.026881
1044,0.026929
1043,0.027058
1042,0.027025
1041,0.027145
1040,0.027154
1039,0.027138
1038,0.027261
1037,0.027407
1036,0.027447
1035,0.02739
1034,0.027446
1033,0.027457
1032,0.02767
1031,0.027698
1030,0.027597
1029,0.027669
1028,0.027796
1027,0.027753
1026,0.027849
1025,0.028107
1024,0.027974
1023,0.02803
1022,0.028043
1021,0.028084
1020,0.028194
1019,0.0281
1018,0.028271
1017,0.028384
1016,0.028514
1015,0.028388
1014,0.028388
1013,0.028498
1012,0.02867
1011,0.028625
1010,0.02874
1009,0.028841
1008,0.028849
1007,0.028791
1006,0.028936
1005,0.028804
1004,0.02887
1003,0.028974
1002,0.029162
1001,0.029019
1000,0.029068
999,0.029126
998,0.029226
997,0.029183
996,0.029485
995,0.029323
994,0.029504
993,0.029438
992,0.029273
991,0.029736
990,0.029639
989,0.029663
988,0.029675
987,0.029692
986,0.029808
985,0.029761
984,0.029785
